method,num_calib_points,holdout_error_px_mean,holdout_error_px_std,holdout_median_px_mean,holdout_p90_px_mean,fit_error_px_mean,n_repeats
none,0,314.5413306567727,5.684341886080802e-14,320.7601248040416,479.5731398794889,0.0,20
affine,1,409.56509477337187,58.86221422814053,403.980625808484,664.7245772447145,2.842170943040401e-15,20
affine,3,4608.389881323901,17849.183796370504,4137.568589307637,8485.77100220532,5.308420545078773e-13,20
affine,5,295.73576804462334,165.2412077781029,251.4198465789963,569.4961816196586,115.11081550427596,20
affine,9,221.1880095375929,28.591692952544594,185.73530395554127,416.4730749148272,174.5330816579437,20
polynomial,9,436.9678052640279,222.273264108842,318.9274531256607,979.1295868625333,103.38904988713337,20
affine,13,198.29925468836305,24.83152445699685,152.07639719651476,400.85515507801074,142.31751782849125,20
polynomial,13,274.3407828990353,86.94413128339927,216.1756097086049,561.2705813856315,130.08194425025633,20
affine,25,184.57005624125526,12.51783269353325,136.295392949778,381.10478244124187,157.49489565694608,20
polynomial,25,198.4859472949916,16.72991657518705,153.6144831363025,398.3651445056011,153.32614846000857,20
