epoch,train_loss,val_loss,val_pixel_error_px
1,0.031914,0.023275,421.1408
2,0.021984,0.024265,429.0476
3,0.021153,0.023942,427.8295
4,0.020737,0.024747,433.2396
5,0.020593,0.024985,424.3811
6,0.019863,0.023893,425.4053
7,0.018110,0.022178,409.8683
8,0.016657,0.032736,469.4535
9,0.015664,0.028833,450.4047
10,0.014384,0.020035,392.3513
11,0.012799,0.016773,356.0569
12,0.011116,0.019170,358.0700
13,0.010486,0.015555,326.8217
14,0.009455,0.014266,318.7560
15,0.009200,0.013671,312.6262
16,0.008343,0.026465,395.2170
17,0.007868,0.012482,288.5820
18,0.007374,0.013630,311.9598
19,0.007277,0.016282,308.0280
20,0.007037,0.012485,297.6955
21,0.006765,0.012246,292.6187
22,0.006574,0.011171,283.2226
23,0.006472,0.015841,308.7218
24,0.006114,0.016610,323.7612
25,0.006371,0.010783,269.2128
26,0.006149,0.012553,279.1304
27,0.005998,0.010474,260.2689
28,0.005940,0.011522,282.3395
29,0.005231,0.011994,285.8226
30,0.005440,0.008570,222.9645
31,0.005335,0.012459,268.6895
32,0.005195,0.011328,275.9412
33,0.004981,0.027388,392.3656
34,0.005099,0.009607,241.7665
35,0.004773,0.009095,247.9479
36,0.004517,0.011163,266.3956
37,0.004895,0.008534,234.7351
38,0.004718,0.012188,273.8694
39,0.005092,0.009813,252.2491
40,0.004439,0.010667,250.4701
41,0.004703,0.008656,234.2978
42,0.004295,0.010131,258.3763
43,0.004287,0.014127,282.9380
44,0.004209,0.007740,214.1951
45,0.004219,0.011286,264.1331
46,0.004207,0.010575,260.5388
47,0.004170,0.012204,264.6677
48,0.003998,0.010110,258.1352
49,0.003940,0.008085,226.2307
50,0.003751,0.009731,245.7348
51,0.003809,0.008541,227.0691
52,0.003865,0.009352,242.9889
53,0.003594,0.009605,244.0827
54,0.003594,0.008280,229.9935
55,0.003766,0.008362,224.9476
56,0.003415,0.008701,237.2193
57,0.003268,0.011437,265.4274
58,0.003223,0.010271,252.7927
59,0.003664,0.011061,253.9384
60,0.003205,0.008417,222.1279
61,0.003134,0.006839,190.2761
62,0.003086,0.008023,214.6939
63,0.003143,0.008052,214.5355
64,0.002949,0.008168,223.5521
65,0.002969,0.012219,260.6095
66,0.002958,0.010801,240.5376
67,0.002938,0.007511,212.1682
68,0.002883,0.008157,224.6256
69,0.002766,0.008541,226.9720
70,0.002706,0.011193,251.0682
71,0.002769,0.008028,211.6702
