epoch,train_loss,val_loss,val_pixel_error_px
1,0.024712,0.025296,448.3861
2,0.023660,0.025380,452.7453
3,0.022824,0.025613,454.0401
4,0.022492,0.025712,454.4848
5,0.021060,0.027946,461.2766
6,0.018825,0.020743,398.6440
7,0.015228,0.018724,381.9946
8,0.012412,0.022148,434.5491
9,0.011231,0.016692,346.2683
10,0.010288,0.026223,392.6196
11,0.009324,0.015742,345.4557
12,0.008812,0.013647,316.2747
13,0.008447,0.013312,301.8808
14,0.007842,0.013106,294.6733
15,0.007683,0.019846,352.8295
16,0.007280,0.014813,321.8948
17,0.007289,0.016960,335.4823
18,0.006514,0.022451,369.7547
19,0.006534,0.011170,284.0831
20,0.006582,0.015366,307.8342
21,0.006229,0.011697,275.8188
22,0.006012,0.009586,258.1174
23,0.005687,0.011814,279.5937
24,0.005693,0.015536,322.2519
25,0.005620,0.021482,353.5461
26,0.005592,0.011717,285.3331
27,0.005247,0.010229,274.1355
28,0.005227,0.010003,261.7888
29,0.005282,0.009537,249.6819
30,0.005182,0.010342,267.7589
31,0.004763,0.009573,236.7811
32,0.004779,0.008617,231.9473
33,0.004700,0.008709,239.6149
34,0.004453,0.009891,255.1237
35,0.004478,0.009578,257.6221
36,0.004472,0.009605,240.1609
37,0.004562,0.010851,267.4033
38,0.004065,0.009597,251.3763
39,0.004154,0.010389,250.0381
40,0.004266,0.008173,210.3461
41,0.003918,0.010471,258.2705
42,0.004192,0.007638,215.0592
43,0.003838,0.008385,213.3201
44,0.003907,0.007352,210.9162
45,0.003781,0.009890,246.8933
46,0.003941,0.016549,302.3039
47,0.003742,0.008487,228.9565
48,0.003740,0.009896,241.7135
49,0.003753,0.009029,231.1936
50,0.003574,0.009534,249.3359
51,0.003542,0.008650,243.6717
52,0.003370,0.008023,228.0680
53,0.003427,0.007494,214.1587
54,0.003241,0.010194,228.6010
55,0.003326,0.009025,247.0789
56,0.003489,0.007421,207.7129
57,0.003270,0.008432,231.0754
58,0.003286,0.007499,209.8191
59,0.003116,0.010153,245.5150
60,0.003082,0.012286,259.0036
61,0.003188,0.007666,212.1519
62,0.002980,0.007570,206.5552
