epoch,train_loss,val_loss,val_pixel_error_px
1,0.034010,0.028789,481.6005
2,0.027859,0.024891,447.3043
3,0.026982,0.028914,480.3313
4,0.025435,0.024151,441.4654
5,0.022550,0.024930,442.4689
6,0.019026,0.023075,434.3295
7,0.017123,0.029012,459.9613
8,0.015473,0.025046,434.8245
9,0.013394,0.023004,400.2998
10,0.012938,0.017523,364.9574
11,0.011406,0.017064,363.9635
12,0.011266,0.017954,365.0249
13,0.010205,0.014687,323.6614
14,0.009853,0.019291,361.8573
15,0.009290,0.018281,364.2995
16,0.009281,0.013406,315.3536
17,0.008491,0.014991,333.4122
18,0.008500,0.019474,353.0784
19,0.008149,0.016842,354.2705
20,0.007932,0.013030,288.4650
21,0.007469,0.010538,264.4869
22,0.007221,0.013547,301.3441
23,0.006948,0.017587,358.1313
24,0.006624,0.010903,275.3795
25,0.006848,0.011458,275.9491
26,0.006845,0.015477,303.4613
27,0.006470,0.011869,280.7634
28,0.006402,0.013604,289.3079
29,0.006045,0.016458,318.3124
30,0.005636,0.011381,267.9576
31,0.005626,0.009851,258.7671
32,0.005607,0.010042,254.2107
33,0.005418,0.008656,228.2890
34,0.005503,0.014826,310.4613
35,0.005204,0.009982,256.4027
36,0.005273,0.010339,252.2710
37,0.004966,0.009380,250.6210
38,0.004946,0.013070,285.3948
39,0.004595,0.010789,250.4036
40,0.004678,0.012041,267.3401
41,0.004721,0.010101,245.2150
42,0.004739,0.009558,248.5099
43,0.004408,0.010323,247.5106
44,0.004427,0.008752,238.3902
45,0.004299,0.010267,249.3653
46,0.004019,0.010419,248.5968
47,0.004214,0.008828,232.6246
48,0.003862,0.009329,237.4410
49,0.003726,0.008547,226.0152
50,0.003694,0.011473,258.5394
51,0.003799,0.009054,226.9247
52,0.003737,0.009171,231.6963
53,0.003600,0.009821,240.4065
54,0.003634,0.008307,225.0811
55,0.003652,0.008471,221.8437
56,0.003456,0.009024,229.7115
57,0.003513,0.008659,221.8302
58,0.003449,0.008622,221.7577
59,0.003437,0.008885,225.1748
60,0.003392,0.008512,222.3604
