epoch,train_loss,val_loss,val_angle_error
1,0.202972,0.099837,5.7202
2,0.110694,0.097743,5.6003
3,0.105389,0.096366,5.5213
4,0.101832,0.095259,5.4580
5,0.098421,0.092622,5.3068
6,0.094084,0.093840,5.3767
7,0.090316,0.091470,5.2409
8,0.083781,0.085614,4.9053
9,0.072377,0.078454,4.4951
10,0.065951,0.091716,5.2549
11,0.061050,0.070771,4.0549
12,0.057620,0.059721,3.4217
13,0.055936,0.060255,3.4524
14,0.054798,0.047497,2.7214
15,0.053299,0.060541,3.4687
16,0.053727,0.087473,5.0118
17,0.051771,0.051581,2.9554
18,0.049901,0.072872,4.1753
19,0.047885,0.052960,3.0344
20,0.047733,0.045740,2.6207
21,0.048038,0.070436,4.0357
22,0.044671,0.054464,3.1206
23,0.045868,0.054622,3.1296
24,0.044289,0.043426,2.4881
25,0.044749,0.056012,3.2092
26,0.043376,0.077854,4.4607
27,0.042265,0.061372,3.5164
28,0.041704,0.051862,2.9715
29,0.042215,0.042231,2.4197
30,0.041252,0.045458,2.6045
31,0.041215,0.041527,2.3793
32,0.040422,0.039265,2.2497
33,0.039983,0.040519,2.3216
34,0.039492,0.044403,2.5441
35,0.039670,0.045853,2.6272
36,0.038961,0.041563,2.3814
37,0.038528,0.054029,3.0956
38,0.037740,0.036731,2.1045
39,0.038031,0.038693,2.2169
40,0.037848,0.051891,2.9731
41,0.037138,0.056034,3.2105
42,0.036482,0.046171,2.6454
43,0.036948,0.035818,2.0522
44,0.036279,0.067507,3.8679
45,0.035926,0.036742,2.1052
46,0.035850,0.040016,2.2928
47,0.035917,0.044602,2.5555
48,0.035361,0.038358,2.1978
49,0.034910,0.038048,2.1800
50,0.034748,0.040247,2.3060
51,0.035270,0.037411,2.1435
52,0.034581,0.051665,2.9602
53,0.034406,0.039826,2.2819
54,0.033967,0.035465,2.0320
55,0.032898,0.047435,2.7178
56,0.033914,0.042040,2.4087
57,0.033059,0.036087,2.0676
58,0.033134,0.040302,2.3091
59,0.032305,0.044675,2.5597
60,0.031717,0.036369,2.0838
61,0.032425,0.050874,2.9149
62,0.032363,0.035784,2.0503
63,0.031335,0.041523,2.3791
64,0.030907,0.041090,2.3543
65,0.031011,0.043851,2.5125
66,0.030763,0.042962,2.4616
67,0.030042,0.043408,2.4871
68,0.030180,0.039074,2.2388
69,0.029863,0.037786,2.1650
70,0.029228,0.040332,2.3108
71,0.029177,0.044282,2.5372
72,0.029084,0.035795,2.0509
73,0.029146,0.039993,2.2914
74,0.028113,0.035717,2.0464
75,0.027934,0.035184,2.0159
76,0.028186,0.039531,2.2649
77,0.028078,0.036370,2.0839
78,0.027192,0.038157,2.1862
79,0.027244,0.035808,2.0516
80,0.026732,0.036232,2.0760
81,0.026301,0.035283,2.0216
82,0.026469,0.037973,2.1757
83,0.026420,0.035975,2.0612
84,0.025765,0.039465,2.2612
85,0.025784,0.036293,2.0795
86,0.025592,0.038959,2.2322
87,0.025482,0.037701,2.1601
88,0.025388,0.037563,2.1522
89,0.025242,0.035848,2.0539
90,0.025135,0.035859,2.0546
91,0.024968,0.035695,2.0452
92,0.024581,0.036249,2.0769
93,0.024646,0.036593,2.0966
94,0.024448,0.035875,2.0555
95,0.024210,0.035499,2.0340
96,0.024086,0.035895,2.0566
97,0.024211,0.035413,2.0290
98,0.024567,0.035671,2.0438
99,0.023996,0.035622,2.0410
100,0.024003,0.036377,2.0842
